case,Unnamed: 0,collection_id,priority,alloc_collection_id,instance_index,machine_id,vertical_scaling,assigned_memory,page_cache_memory,cycles_per_instruction,memory_accesses_per_instruction,sample_rate,req_cpu,req_memory,avg_cpu,avg_memory,max_cpu,max_memory,sample_cpu,cpu_mean,tail_cpu_mean,scheduling_class_1,scheduling_class_2,scheduling_class_3,collection_type_1,scheduler_1.0,failure_probability,raw_isolation_forest_score,calibrated_anomaly_signal,risk_score,risk_band,confidence,action
0,0,94591244395,200.0,0,144,168846390496,1.0,0.014434814453125,0.0004148483276367,0.0,0.0,1.0,0.020660400390625,0.014434814453125,0.00466156005859375,0.00592041015625,0.01190185546875,0.0059356689453125,0.0043487548828125,0.005053779090909091,0.006783377777777778,False,False,True,True,False,0.99,0.05578327776684383,0.860175,0.9510525,Restart Task,0.870175,Restart Task
1,0,94591244395,0.0,0,144,168846390496,1.0,0.0,0.0,0.0,0.0,0.9833333492279052,0.0,0.0001792716979980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,0.33,0.012175864550206139,0.9411625,0.51334875,Migrate VM,0.38883749999999995,Migrate VM
2,0,94591244395,360.0,0,144,168846390496,1.0,0.1875,0.0024795532226562,4.69735862255098,0.03168676316738151,1.0,0.12548828125,0.1041259765625,0.074462890625,0.129638671875,0.23779296875,0.129638671875,0.07325073242187519,0.07608867366363649,0.0978352871333337,False,False,True,True,False,0.26,-0.18527109976491563,0.999725,0.4819175,Scale Resources,0.26027500000000003,Scale Resources
3,0,94591244395,278.6241774801468,0,144,168846390496,1.0,0.0822897074535098,0.0021289392392821785,3.2757877243933855,0.002984175318248048,0.9995937062480849,0.0955141129939066,0.08188806604314133,0.009539711417490599,0.058387434819957555,0.08817316298889993,0.12014458229458193,0.04716359162680729,0.06260283989513127,0.04338155546126906,False,False,True,True,False,0.33,-0.11443891388057437,0.9936875,0.5291062499999999,Migrate VM,0.3363125,Migrate VM
4,0,94591244395,81.80593984251968,0,144,168846390496,1.0,0.10398464756546902,0.00015823828303418398,3.8876804220513286,0.020015400216247217,0.9959681328465146,0.044488854399109455,0.10108013275233017,0.06650438037189216,0.10090860277006043,0.0462837161737833,0.060505091059339634,0.003208657926750786,0.011739682811655877,0.06682629046659858,False,False,True,True,False,0.315,-0.12319098070741685,0.99415,0.518745,Migrate VM,0.3208500000000001,Migrate VM
5,0,94591244395,268.1143761268142,0,144,168846390496,1.0,0.18140807483141438,0.0008079013167945652,1.7401820944505928,0.014878703785764214,0.9864912022010771,0.016303626401961042,0.049627231266994865,0.016896326040165933,0.08683379667392896,0.10395165258341067,0.1079472954362089,0.05129493161114389,0.02376756343952429,0.08142437663903078,False,False,True,True,False,0.28,-0.13580939473318177,0.9951625,0.49454875,Scale Resources,0.2848375000000001,Scale Resources
6,0,94591244395,289.7151686988487,0,144,168846390496,1.0,0.0726521960681577,0.0007149248792825886,3.2059261404491277,0.004428303850181566,0.986665149425035,0.0009238785771525473,0.08197746771689475,0.04950671661635005,0.09141670313734959,0.1856518740760246,0.059493231643276,0.0416607091620427,0.010636968169691329,0.011205082629793785,False,False,True,True,False,0.35,-0.12464890586727606,0.9941875,0.54325625,Migrate VM,0.3558125,Migrate VM
7,0,94591244395,240.62506624456978,0,144,168846390496,1.0,0.08833053865183735,0.0014015330093870748,3.5934739791248154,0.020112169083856993,0.9925596637732975,0.07017394546463442,0.031773882834848825,0.002294785044731816,0.056615462324800886,0.051026726398003285,0.05296111079535688,0.06251240016797238,0.017800145197046813,0.0057040654738103585,False,False,True,True,False,0.4,-0.10867138306140833,0.9933,0.57799,Migrate VM,0.40670000000000006,Migrate VM
8,0,94591244395,101.29820112791876,0,144,168846390496,1.0,0.05504882958125318,0.0016412572272204327,2.616579783838435,0.024839196899289432,0.9944052310077157,0.05099678876469635,0.0847940083765667,0.012433286272424241,0.0029443629966015416,0.02141274814342653,0.0936457068278113,0.03383284540490121,0.01227095576604182,0.04901985943889418,False,False,True,True,False,0.43,-0.11074910585674691,0.9934625,0.5990387500000001,Migrate VM,0.4365375,Migrate VM
9,0,94591244395,54.83235697674063,0,144,168846390496,1.0,0.1305600703270755,0.0011062682309078756,1.7897933417792584,0.009553942160931184,0.9938380490951481,0.045403242632920573,0.009290191992546206,0.008787060582704388,0.12469913571186333,0.21605409979228743,0.09070910352868848,0.019475169405885537,0.07374334509851638,0.07618931829483669,False,False,True,True,False,0.33,-0.13018580808116986,0.994275,0.5292825,Migrate VM,0.33572500000000005,Migrate VM
