feature,training_min,training_p01,training_median,training_p99,training_max,ui_min,ui_max,ui_default,selected_profile_value,status
priority,0.0,0.0,105.0,360.0,450.0,0.0,360.0,200.0,200.0,IN_DISTRIBUTION
assigned_memory,0.0,0.0,0.0028572082519531,0.1875,0.26904296875,0.0,0.1875,0.014434814453125,0.014434814453125,IN_DISTRIBUTION
page_cache_memory,0.0,0.0,0.0002269744873046,0.0024795532226562,0.0043258666992187,0.0,0.0024795532226562,0.0004148483276367,0.0004148483276367,IN_DISTRIBUTION
cycles_per_instruction,0.0,0.0,1.100355625152588,4.69735862255098,7.779392242431641,0.0,4.69735862255098,0.0,0.0,IN_DISTRIBUTION
memory_accesses_per_instruction,0.0,0.0,0.0045095421373844,0.03168676316738151,0.0631889775395393,0.0,0.03168676316738151,0.0,0.0,IN_DISTRIBUTION
sample_rate,0.4545454680919647,0.9833333492279052,1.0,1.0,1.0,0.9833333492279052,1.0,1.0,1.0,IN_DISTRIBUTION
req_cpu,0.0,0.0,0.0081024169921875,0.12548828125,0.5830078125,0.0,0.12548828125,0.020660400390625,0.020660400390625,IN_DISTRIBUTION
req_memory,0.0,0.0001792716979980469,0.003253936767578125,0.1041259765625,0.26318359375,0.0001792716979980469,0.1041259765625,0.014434814453125,0.014434814453125,IN_DISTRIBUTION
avg_cpu,0.0,0.0,0.0009617805480957031,0.074462890625,0.4990234375,0.0,0.074462890625,0.00466156005859375,0.00466156005859375,IN_DISTRIBUTION
avg_memory,0.0,0.0,0.0012416839599609375,0.129638671875,0.22314453125,0.0,0.129638671875,0.00592041015625,0.00592041015625,IN_DISTRIBUTION
max_cpu,0.0,0.0,0.0050048828125,0.23779296875,1.22265625,0.0,0.23779296875,0.01190185546875,0.01190185546875,IN_DISTRIBUTION
max_memory,0.0,0.0,0.001399993896484375,0.129638671875,0.224365234375,0.0,0.129638671875,0.0059356689453125,0.0059356689453125,IN_DISTRIBUTION
sample_cpu,0.0,0.0,0.0007009506225585938,0.07325073242187519,0.52734375,0.0,0.07325073242187519,0.0043487548828125,0.0043487548828125,IN_DISTRIBUTION
cpu_mean,0.0,0.0,0.0009147472727272728,0.07608867366363649,0.23426402727272724,0.0,0.07608867366363649,0.005053779090909091,0.005053779090909091,IN_DISTRIBUTION
tail_cpu_mean,0.0,0.0,0.0017467077777777779,0.0978352871333337,0.2592773433333333,0.0,0.0978352871333337,0.006783377777777778,0.006783377777777778,IN_DISTRIBUTION
