profile_index,failure_probability,raw_isolation_forest_score,calibrated_anomaly_score,risk_score,risk_band,final_recommended_action,confidence,confidence_level
0,0.99,0.05578327776684383,0.860175,0.9510525,Restart Task,Restart Task,0.870175,HIGH
1,0.91,0.1377305702883117,0.27035,0.718105,Restart Task,Restart Task,0.36035,LOW
2,0.0,0.0656185104573681,0.8271125,0.24813375,Normal,Normal,0.172887,LOW
3,0.97,-0.041383335517228836,0.970225,0.9700674999999999,Restart Task,Restart Task,0.999775,HIGH
4,0.0,0.12382636619255594,0.4590375,0.13771124999999998,Normal,Normal,0.540963,LOW
5,0.0,-0.03765547248619905,0.9691875,0.29075625,Normal,Normal,0.030813,LOW
6,0.0,0.12823167006766456,0.4064875,0.12194624999999999,Normal,Normal,0.593512,MEDIUM
7,0.005,0.1103162017742016,0.5906125,0.18068375,Normal,Normal,0.414388,LOW
8,0.0,0.14162760087350268,0.2059375,0.061781249999999996,Normal,Normal,0.794063,MEDIUM
9,0.0,0.08860580388486311,0.7306250000000001,0.2191875,Normal,Normal,0.269375,LOW
10,0.0,0.11170043146148001,0.579475,0.17384249999999998,Normal,Normal,0.420525,LOW
11,0.0,0.13288466806181004,0.34481249999999997,0.10344374999999999,Normal,Normal,0.655188,MEDIUM
12,0.0,0.11309477705813226,0.5668375,0.17005125,Normal,Normal,0.433163,LOW
13,0.0,0.11249413729898555,0.5727125,0.17181375,Normal,Normal,0.427288,LOW
14,0.0,0.08307853881649474,0.7572375,0.22717125,Normal,Normal,0.242762,LOW
15,0.0,0.06106760249940174,0.84405,0.25321499999999997,Normal,Normal,0.15595,LOW
16,0.995,0.03186589409589524,0.9162625,0.97137875,Restart Task,Restart Task,0.921262,HIGH
17,0.0,0.08319651911648901,0.7566625,0.22699875,Normal,Normal,0.243337,LOW
18,0.0,0.08938147342925479,0.7273375,0.21820124999999999,Normal,Normal,0.272663,LOW
19,1.0,0.005255095141012411,0.946825,0.9840475,Restart Task,Restart Task,0.946825,HIGH
20,1.0,0.06384843664889867,0.8333875,0.95001625,Restart Task,Restart Task,0.833387,HIGH
21,0.0,0.12023352438666718,0.4986125,0.14958375,Normal,Normal,0.501387,LOW
22,0.02,0.11957663692004739,0.5052375,0.16557125,Normal,Normal,0.514763,LOW
23,0.0,0.09352308125573972,0.7049875,0.21149625,Normal,Normal,0.295013,LOW
24,0.0,0.06811863662326378,0.8175625,0.24526874999999998,Normal,Normal,0.182438,LOW
25,0.0,0.07209913289166137,0.8012375,0.24037125,Normal,Normal,0.198762,LOW
26,0.995,0.042238638365582615,0.89405,0.964715,Restart Task,Restart Task,0.89905,HIGH
27,1.0,0.1293285693634013,0.3933375,0.81800125,Restart Task,Restart Task,0.393338,LOW
28,0.0,0.11334407423415394,0.564875,0.1694625,Normal,Normal,0.435125,LOW
29,0.0,0.1435567730503658,0.16932499999999995,0.05079749999999998,Normal,Normal,0.830675,HIGH
30,0.005,0.08985096758811917,0.7250375,0.22101125,Normal,Normal,0.279963,LOW
