failure_probability,raw_anomaly_score,anomaly_score,risk_score,action,confidence_score,confidence_level
0.005,0.12202699512235204,0.47931250000000003,0.14729375,Normal,0.5256875,LOW
0.0,0.12170077473147639,0.48295,0.14488499999999999,Normal,0.51705,LOW
0.0,0.13277651569219157,0.34653750000000005,0.10396125000000002,Normal,0.6534625,MEDIUM
0.0,0.061060802418450355,0.8440624999999999,0.25321875,Normal,0.15593750000000006,LOW
0.0,0.14578169332212515,0.1287625,0.038628749999999996,Normal,0.8712375,HIGH
0.0,-0.09595405228021414,0.9915375,0.29746124999999995,Normal,0.00846250000000004,LOW
0.0,0.15005727360346233,0.06922499999999998,0.020767499999999994,Normal,0.930775,HIGH
0.0,0.14408023841791517,0.1596375,0.047891249999999996,Normal,0.8403625,HIGH
0.0,0.09949689938683037,0.669025,0.20070749999999998,Normal,0.330975,LOW
0.0,0.10369890112829866,0.64035,0.192105,Normal,0.35965,LOW
0.0,0.128340819290299,0.40513750000000004,0.12154125,Normal,0.5948625,MEDIUM
1.0,0.11047926905997019,0.5892625,0.8767787499999999,Restart Task,0.5892625,MEDIUM
0.925,0.04409848297342944,0.889825,0.9144475,Restart Task,0.9648249999999999,HIGH
1.0,0.11359370561687482,0.562925,0.8688775,Restart Task,0.562925,MEDIUM
0.0,0.11656311505712275,0.5363,0.16089,Normal,0.4637,LOW
0.0,0.12736631690800698,0.4166875,0.12500624999999999,Normal,0.5833125,MEDIUM
0.0,0.052248171722390324,0.8708875,0.26126625,Normal,0.12911249999999996,LOW
0.0,-0.06843608329648765,0.9824625,0.29473875,Normal,0.017537499999999984,LOW
0.0,0.1387133723768454,0.25358749999999997,0.07607624999999998,Normal,0.7464125,MEDIUM
0.0,0.03915511318701348,0.9003375,0.27010125,Normal,0.09966249999999999,LOW
0.0,0.13453345325750943,0.32135,0.096405,Normal,0.67865,MEDIUM
0.0,0.09318757355241652,0.7073125,0.21219375,Normal,0.2926875,LOW
0.0,-0.009506009076062583,0.95535,0.286605,Normal,0.04464999999999997,LOW
1.0,0.1383625795787573,0.2589625,0.7776887499999999,Restart Task,0.2589625,LOW
0.0,0.15554981650150007,0.028212499999999974,0.008463749999999992,Normal,0.9717875,HIGH
0.015,0.14609712236519268,0.12368749999999995,0.04760624999999999,Normal,0.8913125000000001,HIGH
0.0,0.1618554859422105,0.004325000000000023,0.001297500000000007,Normal,0.995675,HIGH
0.0,0.11922768609107603,0.508525,0.15255749999999998,Normal,0.491475,LOW
0.0,0.07159772615280269,0.80325,0.240975,Normal,0.19674999999999998,LOW
1.0,0.12370817819542257,0.4602625,0.83807875,Restart Task,0.4602625,LOW
0.02,0.07261366294290439,0.7993875,0.25381625,Normal,0.2206125,LOW
0.0,0.13240685281569292,0.3518,0.10554,Normal,0.6482,MEDIUM
0.0,0.14149089217335847,0.2084125,0.06252375,Normal,0.7915875,MEDIUM
1.0,-0.004295574020127035,0.95255,0.985765,Restart Task,0.95255,HIGH
0.0,0.0459892233028123,0.8857,0.26571,Normal,0.11429999999999996,LOW
0.0,0.1573044187321918,0.018862500000000004,0.0056587500000000015,Normal,0.9811375,HIGH
1.0,0.13377233070916866,0.332175,0.7996525,Restart Task,0.332175,LOW
0.0,0.09814757505974275,0.677925,0.2033775,Normal,0.322075,LOW
1.0,0.12934251424339144,0.39308750000000003,0.81792625,Restart Task,0.39308750000000003,LOW
0.0,0.06239141329382214,0.8390625,0.25171875,Normal,0.16093749999999996,LOW
0.0,0.09581022142061679,0.69265,0.20779499999999998,Normal,0.30735,LOW
0.0,0.14777905193321333,0.09671249999999998,0.02901374999999999,Normal,0.9032875,HIGH
1.0,0.06725704505423091,0.8210500000000001,0.946315,Restart Task,0.8210500000000001,HIGH
0.0,0.11278247013997,0.5703,0.17109,Normal,0.42969999999999997,LOW
0.0,0.15097074172284225,0.061362499999999986,0.018408749999999995,Normal,0.9386375,HIGH
0.1,0.11781562111033861,0.5233375,0.22700125,Normal,0.5766625,MEDIUM
1.0,0.13491178095374656,0.31547499999999995,0.7946424999999999,Restart Task,0.31547499999999995,LOW
0.0,0.13841572593570367,0.2582375,0.07747125,Normal,0.7417625,MEDIUM
0.0,0.14581223356299833,0.12788750000000004,0.03836625000000001,Normal,0.8721125,HIGH
0.0,0.14439417382044417,0.15336249999999996,0.04600874999999999,Normal,0.8466375,HIGH
1.0,0.1097534315957866,0.5953625,0.8786087499999999,Restart Task,0.5953625,MEDIUM
0.0,0.1342525720427099,0.32548750000000004,0.09764625,Normal,0.6745125,MEDIUM
0.895,0.14797464827233175,0.09391249999999995,0.6546737499999999,Restart Task,0.19891249999999994,LOW
0.005,0.05248151927455608,0.8703125,0.26459375,Normal,0.13468749999999996,LOW
0.0,0.14735651273249595,0.10298750000000001,0.03089625,Normal,0.8970125,HIGH
0.0,0.1242073289031213,0.45481249999999995,0.13644374999999997,Normal,0.5451875,LOW
0.0,0.07410157581437249,0.7932250000000001,0.2379675,Normal,0.20677499999999993,LOW
0.0,0.08268201531233127,0.7589375,0.22768125,Normal,0.24106249999999996,LOW
0.02,0.1443211081756648,0.154675,0.0604025,Normal,0.865325,HIGH
0.0,0.1585842257272404,0.013262499999999955,0.003978749999999987,Normal,0.9867375,HIGH
0.0,0.14167335033314732,0.20518749999999997,0.061556249999999986,Normal,0.7948125,MEDIUM
0.0,0.027138972484494595,0.9239875,0.27719625,Normal,0.07601250000000004,LOW
0.0,0.12511864724390925,0.444275,0.1332825,Normal,0.555725,MEDIUM
0.0,0.13680425118946793,0.2851125,0.08553374999999999,Normal,0.7148875,MEDIUM
0.0,0.11426916196333237,0.5568,0.16704,Normal,0.44320000000000004,LOW
0.02,0.11150896973332691,0.5810375,0.18831124999999999,Normal,0.43896250000000003,LOW
0.0,0.05103229775945972,0.8736125,0.26208375,Normal,0.12638749999999999,LOW
0.0,0.07682672268361385,0.7827125,0.23481375,Normal,0.21728749999999997,LOW
0.0,0.1449522503884622,0.14344999999999997,0.04303499999999999,Normal,0.85655,HIGH
0.985,0.0929412344381298,0.70865,0.902095,Restart Task,0.72365,MEDIUM
1.0,0.15245494213401573,0.049449999999999994,0.714835,Restart Task,0.049449999999999994,LOW
0.0,0.1437397856453373,0.16593749999999996,0.049781249999999985,Normal,0.8340625,HIGH
0.0,0.15693132574312613,0.02070000000000005,0.006210000000000015,Normal,0.9793,HIGH
0.0,0.11792453133221836,0.5221875,0.15665625,Normal,0.4778125,LOW
0.0,0.06312378045174105,0.836425,0.25092749999999997,Normal,0.16357500000000003,LOW
0.0,0.12713407331649068,0.41946249999999996,0.12583874999999997,Normal,0.5805375,MEDIUM
0.0,0.14682612145653662,0.11228749999999998,0.033686249999999994,Normal,0.8877125,HIGH
0.0,0.029320320428663615,0.920775,0.2762325,Normal,0.07922499999999999,LOW
0.0,0.04161351666437085,0.8953625000000001,0.26860875,Normal,0.10463749999999994,LOW
0.0,0.13997016609012414,0.233275,0.0699825,Normal,0.766725,MEDIUM
0.0,0.056481819247436726,0.858,0.25739999999999996,Normal,0.14200000000000002,LOW
0.0,0.1069412628915698,0.6177250000000001,0.18531750000000002,Normal,0.3822749999999999,LOW
0.0,0.16079203937232056,0.0072624999999999496,0.002178749999999985,Normal,0.9927375,HIGH
0.0,0.06842093841802388,0.816325,0.2448975,Normal,0.18367500000000003,LOW
0.0,0.13882025768848932,0.2519625,0.07558875,Normal,0.7480375,MEDIUM
0.0,0.04589388409084427,0.8859375,0.26578125,Normal,0.11406249999999996,LOW
0.98,0.1307608437444674,0.3748125,0.7984437499999999,Restart Task,0.3948125,LOW
0.0,0.09187588608493058,0.71425,0.21427500000000002,Normal,0.28574999999999995,LOW
1.0,0.012084125637905174,0.9412625,0.98237875,Restart Task,0.9412625,HIGH
0.18,0.031193769666718385,0.9175875,0.40127625,Scale Resources,0.26241249999999994,LOW
0.025,0.14224776203706846,0.1938875,0.07566624999999999,Normal,0.8311125,HIGH
0.0,0.1134372046285429,0.5639875,0.16919625,Normal,0.4360125,LOW
0.0,0.14298543648489653,0.1797875,0.05393625,Normal,0.8202125,HIGH
1.0,0.12628515324985828,0.43022499999999997,0.8290675,Restart Task,0.43022499999999997,LOW
0.0,0.16226061332786446,0.0035874999999999657,0.0010762499999999898,Normal,0.9964125,HIGH
0.0,0.15482081507218942,0.03193749999999995,0.009581249999999986,Normal,0.9680625,HIGH
0.0,0.1155128545806492,0.5460875000000001,0.16382625,Normal,0.45391249999999994,LOW
0.01,0.04801950047919196,0.88095,0.271285,Normal,0.12905,LOW
0.0,0.07532721231442191,0.7886375,0.23659124999999998,Normal,0.2113625,LOW
0.95,0.14434149470465985,0.15435,0.711305,Restart Task,0.20435000000000003,LOW
0.0,0.14669751295257244,0.11423749999999999,0.034271249999999996,Normal,0.8857625,HIGH
0.0,0.14566000032721071,0.13077499999999997,0.03923249999999999,Normal,0.869225,HIGH
0.0,0.13452606021762847,0.32147499999999996,0.09644249999999999,Normal,0.678525,MEDIUM
0.0,0.1325769645666725,0.34938749999999996,0.10481624999999999,Normal,0.6506125,MEDIUM
0.0,0.13611411742625823,0.29742500000000005,0.08922750000000002,Normal,0.702575,MEDIUM
1.0,0.0743693806869688,0.792375,0.9377125,Restart Task,0.792375,MEDIUM
0.0,0.06426201590174163,0.832125,0.24963749999999998,Normal,0.167875,LOW
0.0,0.13342847201264568,0.33723749999999997,0.10117124999999999,Normal,0.6627625,MEDIUM
0.0,0.11639279754522575,0.5379125,0.16137375,Normal,0.4620875,LOW
0.0,0.13601832496591798,0.298875,0.08966249999999999,Normal,0.701125,MEDIUM
0.86,0.11133187110847864,0.5823875000000001,0.77671625,Restart Task,0.7223875000000001,MEDIUM
0.0,0.10607670929912,0.6239,0.18717,Normal,0.3761,LOW
0.0,0.12866534450056277,0.4014875,0.12044624999999999,Normal,0.5985125,MEDIUM
0.0,0.12038939213887112,0.49705,0.149115,Normal,0.50295,LOW
0.02,0.1146049267792309,0.5537000000000001,0.18011,Normal,0.46629999999999994,LOW
0.0,0.08262425226067899,0.7590749999999999,0.22772249999999997,Normal,0.24092500000000006,LOW
0.0,0.11526518639534705,0.548325,0.1644975,Normal,0.45167500000000005,LOW
0.0,0.004684905437475351,0.9473374999999999,0.28420124999999996,Normal,0.052662500000000056,LOW
0.0,0.15638650891418748,0.0234375,0.007031249999999999,Normal,0.9765625,HIGH
0.005,0.07550636284398676,0.788025,0.2399075,Normal,0.21697500000000003,LOW
0.0,0.12533871981134298,0.44162500000000005,0.1324875,Normal,0.558375,MEDIUM
0.0,0.1524244643217238,0.04962500000000003,0.014887500000000008,Normal,0.950375,HIGH
0.0,0.025609972550305282,0.9262375,0.27787125,Normal,0.07376249999999995,LOW
0.0,0.14683146495743732,0.11217500000000002,0.03365250000000001,Normal,0.887825,HIGH
0.995,-0.006054762648022516,0.9533375,0.98250125,Restart Task,0.9583375,HIGH
0.005,0.11492761037757082,0.551125,0.1688375,Normal,0.45387500000000003,LOW
0.0,0.14862427582193583,0.0847,0.02541,Normal,0.9153,HIGH
0.0,0.1351339431876124,0.31181250000000005,0.09354375000000001,Normal,0.6881875,MEDIUM
0.0,0.044357344821333466,0.8893625000000001,0.26680875,Normal,0.11063749999999994,LOW
1.0,0.14861694078917076,0.08478750000000002,0.72543625,Restart Task,0.08478750000000002,LOW
0.0,-0.016055762871609813,0.9603,0.28809,Normal,0.03969999999999996,LOW
0.0,0.14692180946937577,0.11052499999999998,0.03315749999999999,Normal,0.889475,HIGH
0.0,0.14377650930777452,0.1654,0.04962,Normal,0.8346,HIGH
0.005,0.14143598033572546,0.20956249999999998,0.06636874999999999,Normal,0.7954375,MEDIUM
1.0,0.12978041622925962,0.38715,0.8161449999999999,Restart Task,0.38715,LOW
1.0,0.033008292319050336,0.91385,0.9741549999999999,Restart Task,0.91385,HIGH
0.0,0.1431723886745817,0.17620000000000002,0.052860000000000004,Normal,0.8238,HIGH
0.0,0.11850481950582509,0.5160750000000001,0.1548225,Normal,0.48392499999999994,LOW
1.0,0.15041860116822153,0.06559999999999999,0.71968,Restart Task,0.06559999999999999,LOW
0.0,0.16121713193773507,0.006149999999999989,0.0018449999999999966,Normal,0.99385,HIGH
1.0,0.12101449605346326,0.4903375,0.8471012499999999,Restart Task,0.4903375,LOW
0.0,0.014174037871650502,0.9392875,0.28178625,Normal,0.06071249999999995,LOW
0.0,0.06630194159153102,0.8243125,0.24729374999999998,Normal,0.1756875,LOW
0.0,0.14459388759218494,0.1499125,0.04497375,Normal,0.8500875,HIGH
0.935,0.14725060838192838,0.10528749999999998,0.68608625,Restart Task,0.17028749999999993,LOW
0.0,0.13685419451352981,0.28446249999999995,0.08533874999999998,Normal,0.7155375,MEDIUM
0.0,-0.12995346706520294,0.9942375,0.29827125,Normal,0.005762500000000004,LOW
0.0,0.1130509201861769,0.56745,0.170235,Normal,0.43255,LOW
